title,brand,category,rating,rating_count_num,sold,price,original_price_num,savings,discount_pct,currency,delivery,link
Yfashion Cartoon  Electronic  Watch Life Waterproof Student ouch Screen Digital Led Watch ( 3 Movement) color,Yfashion,Kids Watches,4.6,707,6000,287.0,520.0,233.0,44.81,Rs.,Free Delivery,//www.daraz.pk/products/y-led-3-i258744118-s1475715377.html?search=1
"100% Imported LED watch for men , boys and Kids new design 2023",LED,Kids Watches,4.3,293,1000,270.0,999.0,729.0,72.97,Rs.,0,//www.daraz.pk/products/100-led-2023-i401675535-s2027777019.html?search=1
1 Cartoon Characters Analog Wrist Watch For Kids Boys Girls All colors Available,1,Kids Watches,4.5,57,452,225.0,750.0,525.0,70.0,Rs.,Free Delivery,//www.daraz.pk/products/1-i423737473-s2007059936.html?search=1
M3 Touch LED Bracelet Digital Watch Band Good Quality & Fashionable Design Kids LED digital watch water proof high quality digital watch for kid and boy,M3,Kids Watches,4.6,51,332,160.0,299.0,139.0,46.49,Rs.,Free Delivery,//www.daraz.pk/products/m3-led-led-i432456407-s2064625414.html?search=1
led Watches For Boys and Girls and kids,led,Kids Watches,4.4,54,476,198.0,300.0,102.0,34.0,Rs.,Free Delivery,//www.daraz.pk/products/led-i398157365-s1926547196.html?search=1
"Hot deals 1 Creative Cute Kid Watch Sport Led Digital Children Wrist Watches Waterproof Baby Girls Gift Boys Silicone Strap Clock

only 179",Hot,Kids Watches,4.4,81,689,174.0,179.0,5.0,2.79,Rs.,Free Delivery,//www.daraz.pk/products/1-led-179-i430028612-s2047904135.html?search=1
Waterproof Black Color.  Water proof M3 Touch Led Bracelet Digital Watch Band 50 rupes,Waterproof,Kids Watches,4.3,264,2000,170.0,700.0,530.0,75.71,Rs.,Free Delivery,//www.daraz.pk/products/m3-led-50-i186622670-s2126045937.html?search=1
Cartoon Car kids Children Watch  for Boy Baby Fashion,Cartoon,Kids Watches,4.6,51,404,199.0,600.0,401.0,66.83,Rs.,0,//www.daraz.pk/products/-i423892263-s2008132356.html?search=1
new children watch amazing colour red for kids,new,Kids Watches,3.8,16,184,315.0,400.0,85.0,21.25,Rs.,Free Delivery,//www.daraz.pk/products/-i438703087-s2123689186.html?search=1
children's watch sport LED digital touch watch for kids,children's,Kids Watches,4.0,25,217,150.0,550.0,400.0,72.73,Rs.,0,//www.daraz.pk/products/led-i436067701-s2185228790.html?search=1
Digital 24 Images Automatic Projector Toy Watch for Kids School Girls & Boys Spider Man Digital Wrist Watch Spiderman Frozen Minions,Digital,Kids Watches,4.6,36,182,590.0,999.0,409.0,40.94,Rs.,Free Delivery,//www.daraz.pk/products/24-i433541180-s2091215638.html?search=1
"100% Imported LED Watches for Men, Boys and Kids new design 2023",LED,Kids Watches,4.4,57,256,259.0,,,0.0,Rs.,0,//www.daraz.pk/products/100-led-2023-i438303072-s2122140710.html?search=1
Children Watch Toy for Boy Baby Kids Watch Fashion Electronic Digital Car Shape Watch for Kids,Children,Kids Watches,4.5,142,1000,249.0,499.0,250.0,50.1,Rs.,0,//www.daraz.pk/products/-i373779980-s1854352415.html?search=1
"Barbi-e Projector Light Digital Watch For Kids, Kids Projector Wrist Watch 24 Images Increase your child mind creativity  through these images",Barbi-e,Kids Watches,4.6,83,371,490.0,799.0,309.0,38.67,Rs.,0,//www.daraz.pk/products/24-i425005874-s2048513110.html?search=1
Kids Electronic Watch Adjustable Silicone Strap Waterproof Sports Smart Children Watches For Boys LED Digital Watch For Kids,Kids,Kids Watches,3.6,22,182,289.0,600.0,311.0,51.83,Rs.,0,//www.daraz.pk/products/led-i438705509-s2146452907.html?search=1
new Amazing kids watch Amazing colour pink,new,Kids Watches,3.9,15,137,325.0,400.0,75.0,18.75,Rs.,0,//www.daraz.pk/products/-i438883689-s2177054782.html?search=1
Kids Spiderman Watch Digital Scale Strip Watch For Kids- Boys & Girls,Kids,Kids Watches,4.8,14,142,180.0,650.0,470.0,72.31,Rs.,0,//www.daraz.pk/products/-i420865728-s2185836598.html?search=1
New Stylish Children Watches LED Digital Clock Silicone Watchband Square Sports Electronic Clock for Boys and Girls,New,Kids Watches,4.2,10,93,189.0,550.0,361.0,65.64,Rs.,0,//www.daraz.pk/products/led-i435808672-s2094239188.html?search=1
7 Colors Changing Light Sports Digital Watch For Kids,7,Kids Watches,4.3,168,1000,314.0,649.0,335.0,51.62,Rs.,0,//www.daraz.pk/products/7-i147574725-s1310810799.html?search=1
LED Square Digital smart Display watches for Girls Boys,LED,Kids Watches,4.3,55,465,180.0,400.0,220.0,55.0,Rs.,0,//www.daraz.pk/products/led-i349984005-s1984876188.html?search=1
Total 2 Watchs Digital LED Watch For Boys & Kids-Black Watch for girls Smart Watch for Kids Latest LED Watch for boys & girls Led Round Digital Watches for Kid Girl boys,Total,Kids Watches,4.6,51,179,279.0,444.0,165.0,37.16,Rs.,Free Delivery,//www.daraz.pk/products/2-led-led-led-i436111799-s2094496957.html?search=1
Rubber Strap Sports Watch Waterproof Wrist Watch For Kids Boys & Girls,Rubber,Kids Watches,4.0,5,90,599.0,1000.0,401.0,40.1,Rs.,Free Delivery,//www.daraz.pk/products/-i434171452-s2082510161.html?search=1
New Children's Timekeeping Silicone Watches Are Stylish And Available In A Variety Of Colours,New,Kids Watches,4.0,26,330,522.0,928.0,406.0,43.75,Rs.,Free Delivery,//www.daraz.pk/products/new-childrens-timekeeping-silicone-watches-are-stylish-and-available-in-a-variety-of-colours-i414550553-s1973183314.html?search=1
Pakistan Holesales STUFF White Dial Barbie Love Watch Series Analogue Girl's Watch,STUFF,Kids Watches,4.8,17,117,250.0,450.0,200.0,44.44,Rs.,0,//www.daraz.pk/products/-i445130678-s2191367184.html?search=1
Kids Wristwatch with Silicone Band Ben10 Game Cartoon Toys Watches 3D Strap Rubber Secure Care Children Time Teacher Student Watch,Kids,Kids Watches,4.6,16,109,250.0,300.0,50.0,16.67,Rs.,0,//www.daraz.pk/products/ben10-3d-i438316016-s2191368983.html?search=1
children's LED digital sports watch,LED,Kids Watches,5.0,5,55,159.0,600.0,441.0,73.5,Rs.,Free Delivery,//www.daraz.pk/products/led-i436079566-s2191406992.html?search=1
3D Cartoon Character Analog Watch For Kids,3D,Kids Watches,4.7,95,612,249.0,279.0,30.0,10.75,Rs.,0,//www.daraz.pk/products/3d-cartoon-character-analog-watch-for-kids-i357681924-s1799550119.html?search=1
New Arrival 2023 Fashion Watch For Men Women & Boys Touch Led Braclet Digital,New,Kids Watches,4.2,25,212,210.0,,,0.0,Rs.,Free Delivery,//www.daraz.pk/products/2023-led-i433251561-s2076792874.html?search=1
new children watch amazing colour pink for kids,new,Kids Watches,3.4,8,74,325.0,500.0,175.0,35.0,Rs.,Free Delivery,//www.daraz.pk/products/-i438703076-s2177171453.html?search=1
FASHIONWATCHES  Anti Mosquito Bite Cartoon Flashing Silicone Watch Bracelet For Kids & Children,FASHIONWATCHES,Kids Watches,3.3,4,62,199.0,699.0,500.0,71.53,Rs.,Free Delivery,//www.daraz.pk/products/-i434357019-s2083004340.html?search=1
Student Calculator Digital Watch - Sports Watch For Kids - Silicone Date Lcd Electronic Multi-Purpose Wrist Watch,Student,Kids Watches,4.2,47,398,250.0,,,0.0,Rs.,0,//www.daraz.pk/products/student-calculator-digital-watch-sports-watch-for-kids-silicone-date-lcd-electronic-multi-purpose-wrist-watch-i423418949-s2004921231.html?search=1
New Stylish Silicone Rubber Belt Strap Colorful Wrist Watch For Child Boys and Girls,New,Kids Watches,3.4,13,100,300.0,750.0,450.0,60.0,Rs.,Free Delivery,//www.daraz.pk/products/-i422854345-s2001355103.html?search=1
Waterproof Sport M4 Touch Led Digital Watch For Boys & Girls,M4,Kids Watches,4.7,72,653,160.0,300.0,140.0,46.67,Rs.,0,//www.daraz.pk/products/m4-led-i261526688-s2123597362.html?search=1
"New Fashion Men's Watch Quartz Men's Watch Dual Time Zone Large Dial Luminous Watch
classic/unique stylish watch",New,Kids Watches,5.0,5,35,400.0,1300.0,900.0,69.23,Rs.,0,//www.daraz.pk/products/new-fashion-mens-watch-quartz-mens-watch-dual-time-zone-large-dial-luminous-watchclassicunique-stylish-watch-i445765847-s2135465053.html?search=1
Smart Watch for Boy Men Smart Watch for girls Smart Watch for Kids Latest LED Watch for boys & girls Led Round Digital Watches for Kid Girl boys,Smart,Kids Watches,5.0,4,34,390.0,500.0,110.0,22.0,Rs.,0,//www.daraz.pk/products/led-led-i457117124-s2164801918.html?search=1
Digital Watch Football Fashion Students Led Luminous Cartoon Waterproof Sports Casual Clock Boy Wristwatches Electronic Children Glow Kids,Digital,Kids Watches,3.5,37,316,571.0,850.0,279.0,32.82,Rs.,Free Delivery,//www.daraz.pk/products/digital-watch-football-fashion-students-led-luminous-cartoon-waterproof-sports-casual-clock-boy-wristwatches-electronic-children-glow-kids-i427714853-s2032606551.html?search=1
Pakistan Holesales STUFF White Dial Barbie Love Watch Series Analogue Girl's Watch,STUFF,Kids Watches,5.0,6,32,240.0,350.0,110.0,31.43,Rs.,0,//www.daraz.pk/products/-i457104528-s2164801077.html?search=1
Special 7 Color Changing Light Sports Watch For Kids - Black,Special,Kids Watches,4.2,66,427,299.0,999.0,700.0,70.07,Rs.,0,//www.daraz.pk/products/7-i102199075-s1247885543.html?search=1
new Amazing kids watch Amazing colour black,new,Kids Watches,2.8,4,47,299.0,400.0,101.0,25.25,Rs.,0,//www.daraz.pk/products/-i438877942-s2124651294.html?search=1
"Kids Watches For Girl or Boy , spiderman or many other design",Kids,Kids Watches,4.7,20,95,240.0,450.0,210.0,46.67,Rs.,Free Delivery,//www.daraz.pk/products/-i429387194-s2042812982.html?search=1
3d Doll Cartoon Character Analog Watch For Girls,3d,Kids Watches,4.6,214,1000,249.0,279.0,30.0,10.75,Rs.,0,//www.daraz.pk/products/3d-doll-cartoon-character-analog-watch-for-girls-i357695164-s1799596198.html?search=1
Pack of 2 Car Shape Digital Watch for Kids,Pack,Kids Watches,3.8,6,48,399.0,699.0,300.0,42.92,Rs.,0,//www.daraz.pk/products/2-i433288995-s2077559055.html?search=1
Bindas Collection Stainless Steel Bracelet Style Bangle Small Dial Watch Without Box For Women & Watch For Girls,Bindas,Kids Watches,4.6,117,729,549.0,799.0,250.0,31.29,Rs.,Free Delivery,//www.daraz.pk/products/-i260959288-s1479095482.html?search=1
Black Red Led Smart Watch for Boy Men Smart Watch for girls Smart Watch for Kids Latest LED Watch for boys & girls Led Round Digital Watches for Kid Girl boys,Black,Kids Watches,3.9,77,651,191.0,599.0,408.0,68.11,Rs.,Free Delivery,//www.daraz.pk/products/led-led-led-i375712189-s1860869867.html?search=1
"Mosquito Repellent Watch, Baby Cute Cartoon Anti-Mosquito Band Bracelet",Mosquito,Kids Watches,4.2,54,373,199.0,461.0,262.0,56.83,Rs.,Free Delivery,//www.daraz.pk/products/mosquito-repellent-watch-baby-cute-cartoon-anti-mosquito-band-bracelet-i398961263-s1929273975.html?search=1
Ben 10 Projector Watch Digital Wrist Watch For Kids,Ben,Kids Watches,4.3,43,248,486.0,699.0,213.0,30.47,Rs.,0,//www.daraz.pk/products/10-i427684387-s2032357287.html?search=1
Kids Wristwatch with Silicone Band Ben10 Game Cartoon Toys Watches 3D Strap Rubber Secure Care Children Time Teacher Student Watch,Kids,Kids Watches,5.0,5,0,240.0,350.0,110.0,31.43,Rs.,0,//www.daraz.pk/products/ben10-3d-i457107434-s2164805012.html?search=1
Fashion Sports Watch For Kids Children Waterproof Led Digital Watch Ultra-light Silicone Strap Teen Boys Girls WristWatch Unisex,Fashion,Kids Watches,4.2,25,143,179.0,499.0,320.0,64.13,Rs.,Free Delivery,//www.daraz.pk/products/led-i365464184-s2081919290.html?search=1
